sr_no,feedback,sentiment
1,The rental process was just fine.,neutral
2,"It worked, but not impressed.",neutral
3,Customer support was helpful and friendly.,positive
4,Smooth experience from booking to return.,positive
5,"Average experience, could be better.",neutral
6,"Great service, the vehicle arrived on time.",positive
7,Customer support was helpful and friendly.,positive
8,"Decent service, but room for improvement.",neutral
9,"Decent service, but room for improvement.",neutral
10,"Decent service, but room for improvement.",neutral
11,The rental process was just fine.,neutral
12,"Decent service, but room for improvement.",neutral
13,"The car was okay, nothing special.",neutral
14,"Decent service, but room for improvement.",neutral
15,"Great service, the vehicle arrived on time.",positive
16,Vehicle had several mechanical issues.,negative
17,"It worked, but not impressed.",neutral
18,Had trouble contacting the service team.,negative
19,The car was clean and in excellent condition.,positive
20,Smooth experience from booking to return.,positive
21,"It worked, but not impressed.",neutral
22,"Enjoyed the ride, will rent again.",positive
23,Customer support was helpful and friendly.,positive
24,Customer support was helpful and friendly.,positive
25,"The car was okay, nothing special.",neutral
26,Smooth experience from booking to return.,positive
27,Not satisfied with the overall experience.,negative
28,Smooth experience from booking to return.,positive
29,The rental process was just fine.,neutral
30,Vehicle had several mechanical issues.,negative
31,"It worked, but not impressed.",neutral
32,The car was clean and in excellent condition.,positive
33,Vehicle had several mechanical issues.,negative
34,"The car was okay, nothing special.",neutral
35,Customer support was helpful and friendly.,positive
36,"Great service, the vehicle arrived on time.",positive
37,"Decent service, but room for improvement.",neutral
38,Smooth experience from booking to return.,positive
39,Smooth experience from booking to return.,positive
40,"Poor customer service, had to wait too long.",negative
41,"Decent service, but room for improvement.",neutral
42,"It worked, but not impressed.",neutral
43,Not satisfied with the overall experience.,negative
44,Smooth experience from booking to return.,positive
45,The car arrived late and was not clean.,negative
46,"Great service, the vehicle arrived on time.",positive
47,"Great service, the vehicle arrived on time.",positive
48,Customer support was helpful and friendly.,positive
49,"Poor customer service, had to wait too long.",negative
50,Vehicle had several mechanical issues.,negative
51,"Poor customer service, had to wait too long.",negative
52,Customer support was helpful and friendly.,positive
53,"Decent service, but room for improvement.",neutral
54,"Decent service, but room for improvement.",neutral
55,"Decent service, but room for improvement.",neutral
56,The rental process was just fine.,neutral
57,Not satisfied with the overall experience.,negative
58,"It worked, but not impressed.",neutral
59,Vehicle had several mechanical issues.,negative
60,"Average experience, could be better.",neutral
61,"Decent service, but room for improvement.",neutral
62,Customer support was helpful and friendly.,positive
63,Vehicle had several mechanical issues.,negative
64,Vehicle had several mechanical issues.,negative
65,Not satisfied with the overall experience.,negative
66,Smooth experience from booking to return.,positive
67,"Average experience, could be better.",neutral
68,The car arrived late and was not clean.,negative
69,"Average experience, could be better.",neutral
70,"It worked, but not impressed.",neutral
71,Had trouble contacting the service team.,negative
72,"It worked, but not impressed.",neutral
73,"Average experience, could be better.",neutral
74,The car arrived late and was not clean.,negative
75,Had trouble contacting the service team.,negative
76,Smooth experience from booking to return.,positive
77,Vehicle had several mechanical issues.,negative
